epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8766,0.79322,4.09559,1.07851,0.01681,0.75,0.08767,0.07972,0.55135,3.97119,0.8331,4.614e-05,4.614e-05,4.614e-05
2,44.2928,0.77472,3.80205,1.05841,0.03206,0.8,0.28871,0.24092,0.4176,3.87893,0.80428,9.89803e-05,9.89803e-05,9.89803e-05
3,65.8072,0.70354,3.44085,0.99554,0.07442,1,0.37748,0.33401,0.48761,3.85172,0.80572,0.000150755,0.000150755,0.000150755
4,87.056,0.72612,2.96052,0.99867,0.05922,1,0.57319,0.5158,0.45044,3.8081,0.79617,0.000201463,0.000201463,0.000201463
5,108.352,0.6986,2.71656,0.96041,0.03813,1,0.63053,0.55818,0.48009,3.74303,0.8091,0.000251106,0.000251106,0.000251106
6,129.69,0.74275,2.31241,0.98283,0.02928,1,0.5143,0.46883,0.48372,3.7129,0.81323,0.000299683,0.000299683,0.000299683
7,151.708,0.80419,2.22104,1.03533,0.0242,1,0.84583,0.76773,0.49336,3.55398,0.83819,0.000347194,0.000347194,0.000347194
8,173.936,0.78976,1.93994,0.97607,0.02325,1,0.995,0.90991,0.46805,3.43998,0.83445,0.00039364,0.00039364,0.00039364
9,196.571,0.73496,1.79,0.96858,0.95921,0.48977,0.995,0.85225,0.57987,3.10572,0.8545,0.000439019,0.000439019,0.000439019
10,218.557,0.76052,1.70367,0.99424,0.97289,0.52789,0.995,0.82427,0.6259,2.72392,0.87227,0.000483333,0.000483333,0.000483333
11,241.962,0.7448,1.57384,0.94947,0.86662,0.77705,0.995,0.8404,0.56992,2.61211,0.85714,0.00052658,0.00052658,0.00052658
12,265.131,0.6541,1.61924,0.93187,0.89436,0.79317,0.995,0.86374,0.55973,2.51822,0.84395,0.000568762,0.000568762,0.000568762
13,289.15,0.70012,1.52558,0.92792,0.85213,0.79441,0.995,0.85935,0.54862,2.36265,0.84726,0.000609879,0.000609879,0.000609879
14,311.929,0.68208,1.47684,0.93462,0.84681,0.89619,0.995,0.88266,0.51888,2.23354,0.83783,0.000649929,0.000649929,0.000649929
15,335.577,0.69054,1.47002,0.91852,0.80947,0.98545,0.995,0.88162,0.45505,2.06019,0.82366,0.000662417,0.000662417,0.000662417
16,358.322,0.64884,1.29205,0.89627,0.92635,1,0.995,0.88673,0.53508,1.72383,0.86127,0.000654804,0.000654804,0.000654804
17,380.975,0.69456,1.26065,0.92514,0.8635,0.98273,0.995,0.87563,0.53748,1.766,0.86234,0.00064719,0.00064719,0.00064719
18,403.549,0.62393,1.15769,0.89474,0.87098,1,0.995,0.92531,0.47593,1.80402,0.853,0.000639577,0.000639577,0.000639577
19,427.096,0.66299,1.19941,0.93082,0.86162,0.98753,0.995,0.92491,0.4744,1.38368,0.84364,0.000631964,0.000631964,0.000631964
20,449.743,0.65454,1.12178,0.92027,0.95301,1,0.995,0.89001,0.49023,1.29505,0.84886,0.000624351,0.000624351,0.000624351
21,472.362,0.68404,1.16684,0.92517,0.94785,1,0.995,0.89533,0.47833,1.421,0.84589,0.000616738,0.000616738,0.000616738
22,495.104,0.64271,1.16785,0.91257,0.91933,1,0.995,0.90159,0.43773,1.37863,0.8373,0.000609125,0.000609125,0.000609125
23,517.3,0.6048,1.16872,0.89742,0.95909,1,0.995,0.93877,0.418,1.20787,0.83285,0.000601512,0.000601512,0.000601512
24,538.577,0.62173,1.1666,0.90808,0.8869,0.94247,0.995,0.90956,0.44867,1.25554,0.83334,0.000593899,0.000593899,0.000593899
25,559.685,0.67209,1.18581,0.93187,0.84189,0.93947,0.995,0.9002,0.46567,1.39462,0.83422,0.000586286,0.000586286,0.000586286
26,581.882,0.63015,1.18933,0.91503,0.93768,0.9509,0.995,0.89607,0.47944,1.2975,0.83661,0.000578672,0.000578672,0.000578672
27,604.711,0.59496,1.03755,0.89818,0.95077,1,0.995,0.89838,0.5185,1.06253,0.8586,0.000571059,0.000571059,0.000571059
28,627.854,0.62969,1.07727,0.9281,0.93886,0.9433,0.995,0.89838,0.51591,1.08023,0.86478,0.000563446,0.000563446,0.000563446
29,650.956,0.65296,1.0817,0.91466,0.94295,0.9469,0.995,0.87578,0.51484,1.07785,0.86309,0.000555833,0.000555833,0.000555833
30,673.702,0.65026,1.10376,0.91406,0.96607,0.96105,0.995,0.90667,0.48887,1.07965,0.85559,0.00054822,0.00054822,0.00054822
31,696.396,0.61449,0.98538,0.87238,0.97842,0.99506,0.995,0.89174,0.48892,1.04294,0.85585,0.000540607,0.000540607,0.000540607
32,719.214,0.63981,1.05219,0.91865,0.97741,1,0.995,0.85598,0.47077,1.03078,0.85411,0.000532994,0.000532994,0.000532994
33,741.844,0.62429,1.01007,0.90175,0.97793,1,0.995,0.86033,0.46546,1.00945,0.858,0.000525381,0.000525381,0.000525381
34,764.552,0.64786,1.10618,0.94649,0.97587,0.99831,0.995,0.88728,0.44994,1.01969,0.853,0.000517768,0.000517768,0.000517768
35,787.819,0.59069,1.02918,0.8881,0.96021,0.99687,0.995,0.87576,0.46256,1.009,0.85333,0.000510155,0.000510155,0.000510155
36,810.889,0.55344,0.87692,0.86566,0.97911,1,0.995,0.87987,0.45053,0.89881,0.84689,0.000502541,0.000502541,0.000502541
37,835.465,0.53681,0.951,0.87688,0.98194,1,0.995,0.89811,0.44065,0.89657,0.84099,0.000494928,0.000494928,0.000494928
38,860.629,0.56884,0.87738,0.88764,0.96684,1,0.995,0.8984,0.47103,0.93897,0.83866,0.000487315,0.000487315,0.000487315
39,883.702,0.54923,0.94446,0.8997,0.97068,0.99689,0.995,0.88012,0.51172,0.95119,0.84601,0.000479702,0.000479702,0.000479702
40,906.922,0.60012,0.97567,0.90774,0.97506,0.96915,0.995,0.87219,0.50599,0.93541,0.84057,0.000472089,0.000472089,0.000472089
41,928.325,0.5576,0.86371,0.8596,0.97997,0.96506,0.995,0.87219,0.4927,0.93034,0.83924,0.000464476,0.000464476,0.000464476
42,949.655,0.56017,1.00133,0.90583,0.97008,0.97862,0.995,0.89961,0.46433,0.89683,0.83924,0.000456863,0.000456863,0.000456863
43,970.952,0.58347,0.9152,0.92287,0.9785,1,0.995,0.88884,0.45581,0.85458,0.84691,0.00044925,0.00044925,0.00044925
44,995.126,0.54714,0.87762,0.85853,0.97209,1,0.995,0.91337,0.42465,0.86547,0.83819,0.000441637,0.000441637,0.000441637
45,1018.29,0.5625,0.91774,0.89143,0.97306,1,0.995,0.91508,0.41953,0.86014,0.8372,0.000434024,0.000434024,0.000434024
46,1041.43,0.55928,0.88132,0.87763,0.97683,1,0.995,0.90754,0.41415,0.85954,0.83282,0.000426411,0.000426411,0.000426411
47,1064.22,0.53297,0.84124,0.86929,0.98023,1,0.995,0.93766,0.4235,0.82822,0.82707,0.000418797,0.000418797,0.000418797
48,1088.49,0.53905,0.87653,0.88918,0.98388,1,0.995,0.91037,0.43559,0.83726,0.83229,0.000411184,0.000411184,0.000411184
49,1111.92,0.5579,0.86474,0.8888,0.98339,1,0.995,0.9128,0.43746,0.81927,0.83353,0.000403571,0.000403571,0.000403571
50,1134.51,0.53276,0.82717,0.88177,0.98203,1,0.995,0.92276,0.46091,0.80839,0.83762,0.000395958,0.000395958,0.000395958
51,1157.42,0.53471,0.86712,0.88569,0.96968,1,0.995,0.92508,0.45467,0.81749,0.83347,0.000388345,0.000388345,0.000388345
52,1180.57,0.53423,0.77308,0.86938,0.97951,1,0.995,0.91033,0.43821,0.80137,0.83168,0.000380732,0.000380732,0.000380732
53,1203.97,0.5875,0.83485,0.91782,0.98317,1,0.995,0.90634,0.45301,0.80447,0.83144,0.000373119,0.000373119,0.000373119
54,1226.25,0.50773,0.76335,0.8603,0.981,1,0.995,0.92395,0.4152,0.7715,0.82482,0.000365506,0.000365506,0.000365506
55,1248.38,0.49637,0.72858,0.86924,0.94769,1,0.995,0.92362,0.39016,0.7796,0.82009,0.000357893,0.000357893,0.000357893
56,1270.78,0.5353,0.7984,0.90241,0.92568,1,0.995,0.94026,0.41271,0.77561,0.82456,0.00035028,0.00035028,0.00035028
57,1294.2,0.51284,0.78563,0.87722,0.92329,1,0.995,0.94697,0.42544,0.79928,0.82751,0.000342666,0.000342666,0.000342666
58,1316.28,0.50878,0.73731,0.87553,0.93568,1,0.995,0.93491,0.44532,0.82452,0.83237,0.000335053,0.000335053,0.000335053
59,1338.22,0.50428,0.69623,0.86274,0.96463,1,0.995,0.91909,0.46776,0.80845,0.83504,0.00032744,0.00032744,0.00032744
60,1359.97,0.49501,0.71291,0.8745,0.97727,1,0.995,0.92246,0.44112,0.7977,0.82839,0.000319827,0.000319827,0.000319827
61,1381.22,0.50392,0.71613,0.87174,0.97296,1,0.995,0.93542,0.43334,0.81552,0.82724,0.000312214,0.000312214,0.000312214
62,1403.59,0.53013,0.75544,0.86409,0.96633,1,0.995,0.94183,0.41694,0.81725,0.82475,0.000304601,0.000304601,0.000304601
63,1425.69,0.4798,0.7842,0.88286,0.97249,1,0.995,0.9336,0.42395,0.78231,0.82777,0.000296988,0.000296988,0.000296988
64,1450.54,0.48402,0.72239,0.87544,0.96928,1,0.995,0.91071,0.42199,0.77707,0.82997,0.000289375,0.000289375,0.000289375
65,1473.66,0.48783,0.72559,0.86361,0.97602,1,0.995,0.9092,0.43069,0.75451,0.83035,0.000281762,0.000281762,0.000281762
66,1496.46,0.48512,0.72524,0.87334,0.97038,1,0.995,0.92947,0.42391,0.74549,0.82841,0.000274148,0.000274148,0.000274148
67,1519.19,0.48871,0.80502,0.86102,0.96929,1,0.995,0.93288,0.40967,0.74164,0.82833,0.000266535,0.000266535,0.000266535
68,1541.05,0.47371,0.69758,0.85756,0.97426,1,0.995,0.93366,0.41067,0.75564,0.82776,0.000258922,0.000258922,0.000258922
69,1562.92,0.47716,0.70889,0.86062,0.97511,1,0.995,0.927,0.41021,0.76176,0.82764,0.000251309,0.000251309,0.000251309
70,1585.54,0.5028,0.73067,0.86823,0.97446,1,0.995,0.93059,0.40898,0.74634,0.82594,0.000243696,0.000243696,0.000243696
71,1608.09,0.48503,0.71602,0.86278,0.97776,1,0.995,0.93278,0.41292,0.72366,0.82564,0.000236083,0.000236083,0.000236083
72,1629.43,0.46417,0.67785,0.87126,0.97655,1,0.995,0.91968,0.41575,0.70939,0.825,0.00022847,0.00022847,0.00022847
73,1650.85,0.42996,0.64891,0.84485,0.96961,1,0.995,0.92175,0.41798,0.69628,0.82438,0.000220857,0.000220857,0.000220857
74,1672.69,0.44488,0.66038,0.86083,0.9706,1,0.995,0.9251,0.42282,0.68989,0.82423,0.000213244,0.000213244,0.000213244
75,1694.79,0.47002,0.71283,0.86085,0.97394,1,0.995,0.91635,0.43691,0.68714,0.82769,0.000205631,0.000205631,0.000205631
76,1717.23,0.46557,0.70152,0.85745,0.97273,1,0.995,0.9189,0.45619,0.71616,0.83251,0.000198018,0.000198018,0.000198018
77,1740.31,0.45524,0.6839,0.86958,0.97183,1,0.995,0.9189,0.45707,0.72433,0.83185,0.000190404,0.000190404,0.000190404
78,1763.26,0.47441,0.66837,0.85792,0.97423,1,0.995,0.92498,0.45888,0.72302,0.83038,0.000182791,0.000182791,0.000182791
79,1787.29,0.47586,0.68163,0.88397,0.98049,1,0.995,0.93082,0.44747,0.69363,0.82919,0.000175178,0.000175178,0.000175178
80,1810.89,0.45424,0.63242,0.8609,0.98218,1,0.995,0.93302,0.41899,0.6779,0.82542,0.000167565,0.000167565,0.000167565
81,1833.49,0.42587,0.62938,0.86866,0.9826,1,0.995,0.94061,0.40188,0.67793,0.82302,0.000159952,0.000159952,0.000159952
82,1857.22,0.42461,0.60634,0.83733,0.98294,1,0.995,0.94145,0.3912,0.66738,0.82336,0.000152339,0.000152339,0.000152339
83,1880.5,0.47659,0.64649,0.87393,0.98395,1,0.995,0.94146,0.38759,0.66571,0.82111,0.000144726,0.000144726,0.000144726
84,1904.54,0.42245,0.61411,0.8425,0.9735,1,0.995,0.94432,0.38716,0.67433,0.81933,0.000137113,0.000137113,0.000137113
85,1927.06,0.4176,0.64705,0.85463,0.96905,1,0.995,0.93124,0.39207,0.67676,0.82039,0.0001295,0.0001295,0.0001295
86,1949.77,0.46019,0.64162,0.86027,0.972,1,0.995,0.92748,0.39189,0.66556,0.81929,0.000121887,0.000121887,0.000121887
87,1972.49,0.44969,0.688,0.8858,0.9736,1,0.995,0.93707,0.3858,0.65775,0.81744,0.000114273,0.000114273,0.000114273
88,1994.38,0.42754,0.62387,0.84312,0.97658,1,0.995,0.94057,0.389,0.65189,0.81857,0.00010666,0.00010666,0.00010666
89,2017.25,0.42357,0.57525,0.84734,0.98012,1,0.995,0.94057,0.38936,0.65108,0.81923,9.90472e-05,9.90472e-05,9.90472e-05
90,2041.35,0.43058,0.60127,0.84862,0.98136,1,0.995,0.94058,0.3908,0.64321,0.81921,9.14341e-05,9.14341e-05,9.14341e-05
91,2064.62,0.35692,0.74475,0.78975,0.9801,1,0.995,0.94585,0.39181,0.64981,0.81669,8.3821e-05,8.3821e-05,8.3821e-05
92,2093.08,0.36574,0.75001,0.79262,0.97838,1,0.995,0.94367,0.39732,0.668,0.81505,7.62079e-05,7.62079e-05,7.62079e-05
93,2116.2,0.36884,0.7718,0.8283,0.97813,1,0.995,0.93603,0.39685,0.67542,0.81457,6.85948e-05,6.85948e-05,6.85948e-05
94,2138.94,0.34582,0.77198,0.81598,0.97985,1,0.995,0.93936,0.39231,0.67338,0.81323,6.09817e-05,6.09817e-05,6.09817e-05
95,2159.93,0.34533,0.79729,0.80699,0.98093,1,0.995,0.93935,0.37937,0.65231,0.81181,5.33686e-05,5.33686e-05,5.33686e-05
96,2180.79,0.33925,0.79278,0.79755,0.9824,1,0.995,0.936,0.36991,0.63135,0.81189,4.57555e-05,4.57555e-05,4.57555e-05
97,2201.73,0.33534,0.74241,0.79532,0.98308,1,0.995,0.93599,0.367,0.62411,0.81239,3.81424e-05,3.81424e-05,3.81424e-05
98,2222.51,0.33345,0.76093,0.79321,0.98385,1,0.995,0.93972,0.36446,0.61785,0.8135,3.05293e-05,3.05293e-05,3.05293e-05
99,2243.21,0.335,0.71606,0.79708,0.98398,1,0.995,0.9459,0.36486,0.61659,0.81413,2.29162e-05,2.29162e-05,2.29162e-05
100,2264.57,0.33073,0.7346,0.79429,0.98386,1,0.995,0.9459,0.364,0.61435,0.81383,1.53031e-05,1.53031e-05,1.53031e-05
